openml_id;openml_tid;origin
41138;168868.0;tabdpt_cls
4135;34539.0;tabdpt_cls
40981;146818.0;tabdpt_cls
4134;9910.0;tabdpt_cls
40927;167124.0;tabdpt_cls
4535;168340.0;tabdpt_cls
41434;190408.0;tabdpt_cls
40923;167121.0;tabdpt_cls
40996;146825.0;tabdpt_cls
4538;14969.0;tabdpt_cls
40978;167125.0;tabdpt_cls
375;3510.0;tabdpt_cls
40496;125921.0;tabdpt_cls
1120;3954.0;tabdpt_cls
40966;146800.0;tabdpt_cls
41150;168335.0;tabdpt_cls
4534;14952.0;tabdpt_cls
40900;167211.0;tabdpt_cls
40536;146607.0;tabdpt_cls
1455;10089.0;tabdpt_cls
1043;3896.0;tabdpt_cls
1119;3953.0;tabdpt_cls
1590;7592.0;tabdpt_cls
1169;189354.0;tabdpt_cls
41147;189356.0;tabdpt_cls
458;3549.0;tabdpt_cls
448;3540.0;tabdpt_cls
875;3739.0;tabdpt_cls
469;3560.0;tabdpt_cls
1;2867.0;tabdpt_cls
5;5.0;tabdpt_cls
1459;14964.0;tabdpt_cls
7;7.0;tabdpt_cls
9;9.0;tabdpt_cls
11;11.0;tabdpt_cls
1461;14965.0;tabdpt_cls
1558;9899.0;tabdpt_cls
1462;10093.0;tabdpt_cls
1464;10101.0;tabdpt_cls
13;145799.0;tabdpt_cls
15;15.0;tabdpt_cls
40664;146192.0;tabdpt_cls
40975;146821.0;tabdpt_cls
1466;9979.0;tabdpt_cls
1118;3952.0;tabdpt_cls
41142;168908.0;tabdpt_cls
40701;167141.0;tabdpt_cls
23380;14967.0;tabdpt_cls
40994;146819.0;tabdpt_cls
23;23.0;tabdpt_cls
1468;9981.0;tabdpt_cls
25;25.0;tabdpt_cls
27;27.0;tabdpt_cls
478;3567.0;tabdpt_cls
40668;146195.0;tabdpt_cls
1596;7593.0;tabdpt_cls
29;29.0;tabdpt_cls
31;31.0;tabdpt_cls
6332;14954.0;tabdpt_cls
35;35.0;tabdpt_cls
37;37.0;tabdpt_cls
41163;168909.0;tabdpt_cls
40670;167140.0;tabdpt_cls
23381;125920.0;tabdpt_cls
39;145977.0;tabdpt_cls
1471;14951.0;tabdpt_cls
151;219.0;tabdpt_cls
846;3711.0;tabdpt_cls
188;2079.0;tabdpt_cls
1044;3897.0;tabdpt_cls
41164;168910.0;tabdpt_cls
1473;9984.0;tabdpt_cls
1475;9985.0;tabdpt_cls
477;3566.0;tabdpt_cls
754;3620.0;tabdpt_cls
916;3779.0;tabdpt_cls
1477;9987.0;tabdpt_cls
1476;9986.0;tabdpt_cls
1038;3891.0;tabdpt_cls
41;40.0;tabdpt_cls
41159;168337.0;tabdpt_cls
43;42.0;tabdpt_cls
1478;14970.0;tabdpt_cls
329;146063.0;tabdpt_cls
49;48.0;tabdpt_cls
51;50.0;tabdpt_cls
55;54.0;tabdpt_cls
23512;146606.0;tabdpt_cls
1479;145847.0;tabdpt_cls
821;3686.0;tabdpt_cls
1480;9971.0;tabdpt_cls
59;145984.0;tabdpt_cls
61;59.0;tabdpt_cls
451;3543.0;tabdpt_cls
300;3481.0;tabdpt_cls
41168;168330.0;tabdpt_cls
41143;168911.0;tabdpt_cls
1053;3904.0;tabdpt_cls
41027;167119.0;tabdpt_cls
1067;3917.0;tabdpt_cls
1063;3913.0;tabdpt_cls
3;3.0;tabdpt_cls
184;2076.0;tabdpt_cls
4;4.0;tabdpt_cls
1483;9974.0;tabdpt_cls
6;6.0;tabdpt_cls
42855;360948.0;tabdpt_cls
163;146024.0;tabdpt_cls
10;10.0;tabdpt_cls
1485;9976.0;tabdpt_cls
40679;146206.0;tabdpt_cls
12;12.0;tabdpt_cls
14;14.0;tabdpt_cls
16;16.0;tabdpt_cls
18;18.0;tabdpt_cls
40979;146824.0;tabdpt_cls
22;22.0;tabdpt_cls
554;3573.0;tabdpt_cls
334;146065.0;tabdpt_cls
24;24.0;tabdpt_cls
1116;3950.0;tabdpt_cls
1486;9977.0;tabdpt_cls
23517;167120.0;tabdpt_cls
1568;9892.0;tabdpt_cls
1493;9956.0;tabdpt_cls
28;28.0;tabdpt_cls
1487;9978.0;tabdpt_cls
30;30.0;tabdpt_cls
1068;3918.0;tabdpt_cls
1050;3903.0;tabdpt_cls
1049;3902.0;tabdpt_cls
32;32.0;tabdpt_cls
41145;190410.0;tabdpt_cls
1489;9952.0;tabdpt_cls
1567;9890.0;tabdpt_cls
871;3735.0;tabdpt_cls
40683;146210.0;tabdpt_cls
171;146032.0;tabdpt_cls
470;3561.0;tabdpt_cls
1494;9957.0;tabdpt_cls
782;3647.0;tabdpt_cls
41161;168338.0;tabdpt_cls
41165;168332.0;tabdpt_cls
182;2074.0;tabdpt_cls
312;3485.0;tabdpt_cls
40984;146822.0;tabdpt_cls
1501;9964.0;tabdpt_cls
40685;146212.0;tabdpt_cls
38;3021.0;tabdpt_cls
1502;9965.0;tabdpt_cls
934;3797.0;tabdpt_cls
174;2068.0;tabdpt_cls
40;39.0;tabdpt_cls
42;41.0;tabdpt_cls
44;43.0;tabdpt_cls
46;45.0;tabdpt_cls
40982;146817.0;tabdpt_cls
1036;3889.0;tabdpt_cls
41146;168912.0;tabdpt_cls
377;3512.0;tabdpt_cls
48;47.0;tabdpt_cls
40499;125922.0;tabdpt_cls
50;49.0;tabdpt_cls
885;3748.0;tabdpt_cls
54;53.0;tabdpt_cls
736;3602.0;tabdpt_cls
867;3731.0;tabdpt_cls
41166;168331.0;tabdpt_cls
307;3022.0;tabdpt_cls
1509;9945.0;tabdpt_cls
1497;9960.0;tabdpt_cls
1510;9946.0;tabdpt_cls
40983;146820.0;tabdpt_cls
40733;145793.0;tabdpt_cls
44089;361055.0;tabdpt_cls
44120;361060.0;tabdpt_cls
44121;361061.0;tabdpt_cls
44122;361062.0;tabdpt_cls
44123;361063.0;tabdpt_cls
44125;361065.0;tabdpt_cls
44126;361066.0;tabdpt_cls
44128;361068.0;tabdpt_cls
44129;361069.0;tabdpt_cls
44130;361070.0;tabdpt_cls
45022;361273.0;tabdpt_cls
45021;361274.0;tabdpt_cls
45020;361275.0;tabdpt_cls
45019;361276.0;tabdpt_cls
45028;361277.0;tabdpt_cls
45026;361278.0;tabdpt_cls
44156;361110.0;tabdpt_cls
44157;361111.0;tabdpt_cls
44159;361113.0;tabdpt_cls
45035;361282.0;tabdpt_cls
45036;361283.0;tabdpt_cls
45038;361285.0;tabdpt_cls
45039;361286.0;tabdpt_cls
181;2073.0;tabdpt_cls
1111;3945.0;tabdpt_cls
1457;10090.0;tabdpt_cls
41167;189355.0;tabdpt_cls
41158;189922.0;tabdpt_cls
41144;190392.0;tabdpt_cls
41156;190411.0;tabdpt_cls
41157;190412.0;tabdpt_cls
4541;211986.0;tabdpt_cls
1515;359953.0;tabdpt_cls
40498;359974.0;tabdpt_cls
41169;359984.0;tabdpt_cls
41162;359991.0;tabdpt_cls
42733;359992.0;tabdpt_cls
42734;359993.0;tabdpt_cls
42732;359994.0;tabdpt_cls
42746;360112.0;tabdpt_cls
42742;360113.0;tabdpt_cls
42769;360114.0;tabdpt_cls
43072;360975.0;tabdpt_cls
20;;tabdpt_cls
53;;tabdpt_cls
56;;tabdpt_cls
137;;tabdpt_cls
273;;tabdpt_cls
285;;tabdpt_cls
311;;tabdpt_cls
333;;tabdpt_cls
335;;tabdpt_cls
336;;tabdpt_cls
337;;tabdpt_cls
338;;tabdpt_cls
382;;tabdpt_cls
384;;tabdpt_cls
387;;tabdpt_cls
389;;tabdpt_cls
396;;tabdpt_cls
446;;tabdpt_cls
449;;tabdpt_cls
450;;tabdpt_cls
452;;tabdpt_cls
460;;tabdpt_cls
463;;tabdpt_cls
464;;tabdpt_cls
466;;tabdpt_cls
474;;tabdpt_cls
475;;tabdpt_cls
481;;tabdpt_cls
679;;tabdpt_cls
694;;tabdpt_cls
717;;tabdpt_cls
721;;tabdpt_cls
724;;tabdpt_cls
733;;tabdpt_cls
738;;tabdpt_cls
